gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
C1orf194	989913	215	18	1093248	199728	0	6	0	0	50	73	32647644	0	0
CDKN1B	791330	136	44	1338966	250974	0	17	0	0	50	50	38514654	0	0
DIS3	257535	685	2	6761844	1198368	0	143	3	0	50	73	33545106	0	0
FAM71B	166999	1198	18	3936744	856728	0	10	1	0	50	4	36086382	0	0
KPTN	797690	276	38	2924964	635976	0	5	2	0	50	73	43499970	0	0
KRAS	259193	512	16	1617534	245718	0	316	2	0	0	2	245718	0	0
LCMT1	273088	418	23	2334978	411282	0	5	1	0	50	74	33001110	0	0
MAX	501431	387	39	1906614	293022	0	46	0	0	50	85	43699698	0	0
NRAS	600650	472	11	1320570	229950	0	238	0	0	50	95	38246598	0	0
OTUD4	192885	1089	33	7156044	1337652	0	15	1	0	50	12	43343604	0	0
PANK3	413558	432	32	2517624	470412	0	22	1	0	50	76	35906364	0	0
PIK3C3	38836	1300	13	6257268	1001268	0	10	1	0	50	3	40740570	0	0
TRAF3	719158	178	49	3963024	628092	0	89	1	0	50	44	28164276	0	0
USP7	401069	159	12	7899768	1111644	0	44	3	0	50	57	31562280	0	0
TP53	2069567	213	34	2882916	570276	0	82	2	0	11	9	5094378	7.327472e-15	9.214052e-12
BRAF	305191	616	25	5174532	1056456	0	106	4	0	2	9	2547846	1.065814e-14	1.256462e-11
PRKD2	1153249	224	32	5847300	1261440	0	47	2	0	5	12	7057494	2.532630e-11	2.810027e-08
FAM46C	344088	557	16	2612232	488808	0	156	5	0	0	5	488808	5.658041e-11	5.928998e-08
PTPN11	704590	167	43	4156182	684594	0	30	0	0	11	20	13092696	1.310238e-08	1.300722e-05
RASA2	405454	259	28	5985270	963162	0	20	0	0	3	0	6817032	1.205034e-06	1.136468e-03
ZNF804A	18097	1171	4	8209872	1361304	0	15	2	0	37	11	26643978	7.596285e-06	6.822911e-03
LPHN2	55308	1274	-19	9487080	1781784	0	31	5	0	21	13	15172758	1.948300e-05	1.663665e-02
NAALADL2	58421	1139	-15	5422878	994698	0	16	2	0	22	12	18628578	2.028645e-05	1.663665e-02
NFKBIA	416091	125	31	2140506	419166	0	20	1	0	17	10	8221698	3.536774e-05	2.779610e-02
CYLD	279624	792	2	6587082	1126098	0	55	1	0	2	5	3043224	3.902707e-05	2.944515e-02
SAMHD1	817783	225	47	4361166	750294	0	27	0	0	21	33	21415572	5.732011e-05	4.158354e-02
GPR125	101844	818	16	8815626	1796238	0	19	0	0	10	0	7008876	6.332669e-05	4.423956e-02
AUTS2	52369	997	12	8571222	1927638	0	28	3	0	33	22	30675330	7.251075e-05	4.884635e-02
MFF	251488	144	18	2292930	495378	0	13	0	0	50	28	39191364	8.942438e-05	5.643142e-02
COL15A1	199434	148	18	9133614	2248254	0	28	2	0	11	2	6997050	8.975414e-05	5.643142e-02
BCLAF1	286851	153	21	6237558	1139238	0	20	3	0	11	3	9672354	1.299672e-04	7.907876e-02
PRKRA	159623	482	29	2244312	383688	0	17	0	0	50	65	44425026	1.469834e-04	8.663755e-02
SNRK	153482	399	30	5075982	1005210	0	12	0	0	4	0	6746076	1.523102e-04	8.705684e-02
PAPPA2	39980	863	-10	12115080	2367828	0	26	2	0	14	12	20402478	1.678498e-04	9.311715e-02
